VERSION, FILE_NAME, LOC, LOC_TOUCHED, NUMBER_OF_REVISIONS, LOC_ADDED, AVG_LOC_ADDED, NUMBER_OF_AUTHORS, MAX_LOC_ADDED, TOTAL_LOC_REMOVED, MAX_LOC_REMOVED, AVG_LOC_TOUCHED, BUGGY
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,5984,191,5,148,29.6,3,103,43,39,38,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,4768,160,4,126,31.5,3,91,34,31,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,6224,201,3,151,50.333333333333336,2,100,50,48,67,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,1638,45,1,45,45.0,1,45,0,0,45,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,17927,291,2,290,145.0,2,289,1,1,145,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,946,38,2,35,17.5,2,31,3,3,19,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,6734,111,1,111,111.0,1,111,0,0,111,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,910,37,2,36,18.0,2,35,1,1,18,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,4277,81,1,81,81.0,1,81,0,0,81,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,546,27,1,27,27.0,1,27,0,0,27,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,546,28,1,28,28.0,1,28,0,0,28,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,819,31,2,30,15.0,2,29,1,1,15,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,27907,634,4,600,150.0,3,561,34,32,158,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,3367,96,2,80,40.0,2,64,16,16,48,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,455,31,2,30,15.0,2,29,1,1,15,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,3276,66,2,65,32.5,2,64,1,1,33,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,546,43,2,40,20.0,2,37,3,3,21,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,3731,90,2,79,39.5,2,68,11,11,45,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,9045,176,3,165,55.0,2,153,11,9,58,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,4095,74,2,73,36.5,2,72,1,1,37,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,24015,415,6,400,66.66666666666667,3,364,15,8,69,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,3367,80,2,78,39.0,2,76,2,2,40,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,9773,167,3,163,54.333333333333336,2,158,4,2,55,NO
