"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","NaiveBayes","6","BEST FIRST","NO","SENSITIVE_LEARNING","0,4058","0,23729","0,5623","0,20354","0,34188","28.0","41.0","564.0","90.0","86,77762"
"SYNCOPE","IBk","6","BEST FIRST","NO","SENSITIVE_LEARNING","0,24706","0,17797","0,66216","0,08134","0,25424","21.0","64.0","541.0","97.0","86,77762"
"SYNCOPE","RandomForest","7","NO","NO","NO","0,3913","0,14286","0,66117","0,17104","0,22222","9.0","14.0","653.0","54.0","88,22201"
"SYNCOPE","NaiveBayes","7","NO","NO","NO","0,25758","0,26984","0,70305","0,19223","0,28571","17.0","49.0","618.0","46.0","88,22201"
"SYNCOPE","IBk","7","NO","NO","NO","0,29268","0,19048","0,64552","0,1746","0,25397","12.0","29.0","638.0","51.0","88,22201"
"SYNCOPE","RandomForest","7","BEST FIRST","NO","NO","0,36364","0,12698","0,62089","0,15027","0,28571","8.0","14.0","653.0","55.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST FIRST","NO","NO","0,3871","0,19048","0,65361","0,21037","0,20635","12.0","19.0","648.0","51.0","88,22201"
"SYNCOPE","IBk","7","BEST FIRST","NO","NO","0,34483","0,15873","0,59989","0,17236","0,28571","10.0","19.0","648.0","53.0","88,22201"
"SYNCOPE","RandomForest","7","BEST FIRST","UNDERSAMPLING","NO","0,14344","0,55556","0,63654","0,10527","0,26984","35.0","209.0","458.0","28.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST FIRST","UNDERSAMPLING","NO","0,15695","0,55556","0,65275","0,12731","0,30159","35.0","188.0","479.0","28.0","88,22201"
"SYNCOPE","IBk","7","BEST FIRST","UNDERSAMPLING","NO","0,12153","0,55556","0,58702","0,06735","0,2381","35.0","253.0","414.0","28.0","88,22201"
"SYNCOPE","RandomForest","7","BEST FIRST","OVERSAMPLING","NO","0,16541","0,34921","0,60066","0,12161","0,28571","22.0","111.0","556.0","41.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST FIRST","OVERSAMPLING","NO","0,25263","0,38095","0,65585","0,22318","0,30645","24.0","71.0","596.0","39.0","88,22201"
"SYNCOPE","IBk","7","BEST FIRST","OVERSAMPLING","NO","0,14685","0,33333","0,6124","0,09551","0,2381","21.0","122.0","545.0","42.0","88,22201"
"SYNCOPE","RandomForest","7","BEST FIRST","NO","SENSITIVE_LEARNING","0,17273","0,30159","0,61674","0,12345","0,30159","19.0","91.0","576.0","44.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST FIRST","NO","SENSITIVE_LEARNING","0,27632","0,33333","0,65361","0,22944","0,30645","21.0","55.0","612.0","42.0","88,22201"
"SYNCOPE","IBk","7","BEST FIRST","NO","SENSITIVE_LEARNING","0,16832","0,26984","0,5998","0,11303","0,28571","17.0","84.0","583.0","46.0","88,22201"
"SYNCOPE","RandomForest","8","NO","NO","NO","0","0","0,53132","-0,00534","0,20455","0.0","2.0","646.0","89.0","89,37275"
"SYNCOPE","NaiveBayes","8","NO","NO","NO","0","0","0,24172","-0,00269","0,22472","0.0","1.0","647.0","89.0","89,37275"
"SYNCOPE","IBk","8","NO","NO","NO","0","0","0,67869","-0,02268","0,23864","0.0","9.0","639.0","89.0","89,37275"
"SYNCOPE","RandomForest","8","BEST FIRST","NO","NO","0,33333","0,04494","0,59378","0,052","0,25","4.0","8.0","640.0","85.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST FIRST","NO","NO","0,53125","0,19101","0,69","0,23193","0,20225","17.0","15.0","633.0","72.0","89,37275"
"SYNCOPE","IBk","8","BEST FIRST","NO","NO","0,48","0,13483","0,62473","0,16637","0,25843","12.0","13.0","635.0","77.0","89,37275"
"SYNCOPE","RandomForest","8","BEST FIRST","UNDERSAMPLING","NO","0,18807","0,46067","0,65892","0,11539","0,23596","41.0","177.0","471.0","48.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST FIRST","UNDERSAMPLING","NO","0,36275","0,41573","0,69123","0,29673","0,23864","37.0","65.0","583.0","52.0","89,37275"
"SYNCOPE","IBk","8","BEST FIRST","UNDERSAMPLING","NO","0,17778","0,53933","0,64649","0,1048","0,25843","48.0","222.0","426.0","41.0","89,37275"
"SYNCOPE","RandomForest","8","BEST FIRST","OVERSAMPLING","NO","0,19014","0,30337","0,56885","0,10017","0,27273","27.0","115.0","533.0","62.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST FIRST","OVERSAMPLING","NO","0,35185","0,42697","0,6874","0,29205","0,23864","38.0","70.0","578.0","51.0","89,37275"
"SYNCOPE","IBk","8","BEST FIRST","OVERSAMPLING","NO","0,2027","0,33708","0,62834","0,12052","0,2809","30.0","118.0","530.0","59.0","89,37275"
"SYNCOPE","RandomForest","8","BEST FIRST","NO","SENSITIVE_LEARNING","0,2","0,29213","0,58403","0,10982","0,29545","26.0","104.0","544.0","63.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST FIRST","NO","SENSITIVE_LEARNING","0,40244","0,37079","0,69","0,30553","0,23864","33.0","49.0","599.0","56.0","89,37275"
"SYNCOPE","IBk","8","BEST FIRST","NO","SENSITIVE_LEARNING","0,21094","0,30337","0,62492","0,12406","0,30337","27.0","101.0","547.0","62.0","89,37275"
"SYNCOPE","RandomForest","9","NO","NO","NO","0,27778","0,06098","0,61775","0,06239","0,2963","5.0","13.0","641.0","77.0","90,40542"
"SYNCOPE","NaiveBayes","9","NO","NO","NO","0,65","0,15854","0,70291","0,22086","0,17073","13.0","7.0","647.0","69.0","90,40542"
