@relation file_train_step_26

@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute MAX_LOC_ADDED numeric
@attribute TOTAL_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute AVG_LOC_TOUCHED numeric
@attribute BUGGY {YES,NO}

@data
41,47,2,44,22,1,41,3,3,23,NO
12,14,2,13,6.5,1,12,1,1,7,NO
12,12,1,12,12,1,12,0,0,12,NO
208,17,1,17,17,1,17,0,0,17,NO
57,57,1,57,57,1,57,0,0,57,NO
3,3,1,3,3,1,3,0,0,3,NO
18,35,2,25,12.5,1,18,10,10,17,NO
13,22,2,17,8.5,1,13,5,5,11,NO
18,62,4,44,11,1,18,18,17,15,NO
27,56,3,39,13,1,27,17,17,18,NO
48,137,4,90,22.5,1,48,47,32,34,NO
157,400,10,310,31,1,157,90,68,40,NO
106,140,5,126,25.2,1,106,14,5,28,NO
33,39,3,38,12.666667,1,33,1,1,13,NO
32,41,2,36,18,1,32,5,5,20,NO
16,28,2,20,10,1,16,8,8,14,NO
49,129,4,79,19.75,1,49,50,36,32,NO
65,190,9,130,14.444444,1,65,60,29,21,NO
62,74,4,68,17,1,62,6,4,18,NO
23,47,5,34,6.8,1,23,13,5,9,NO
27,53,5,39,7.8,1,27,14,6,10,NO
38,62,2,50,25,1,38,12,12,31,NO
303,20,2,19,9.5,1,15,1,1,10,NO
14,299,2,297,148.5,1,283,2,2,149,NO
12,1,1,1,1,1,1,0,0,1,NO
9,40,6,24,4,1,6,16,6,6,NO
9,50,9,31,3.444444,1,9,19,8,5,NO
9,42,6,25,4.166667,1,6,17,6,7,NO
9,25,5,17,3.4,1,6,8,5,5,NO
12,6,1,6,6,1,6,0,0,6,NO
12,52,11,34,3.090909,1,12,18,5,4,NO
9,53,17,35,2.058824,1,5,18,3,3,NO
33,230,14,124,8.857143,1,39,106,36,16,NO
41,217,13,130,10,1,41,87,38,16,NO
33,160,9,92,10.222222,1,36,68,36,17,NO
44,124,8,91,11.375,1,44,33,13,15,NO
40,4,1,4,4,1,4,0,0,4,NO
41,411,19,261,13.736842,1,62,150,60,21,NO
32,1604,33,1031,31.242424,1,213,573,153,48,NO
76,121,8,82,10.25,1,30,39,13,15,NO
80,49,2,26,13,1,23,23,23,24,NO
58,37,2,20,10,1,17,17,17,18,NO
37,22,2,12,6,1,10,10,10,11,NO
39,18,2,10,5,1,8,8,8,9,NO
4,14,4,13,3.25,1,5,1,1,3,NO
61,61,1,61,61,1,61,0,0,61,NO
10,10,1,10,10,1,10,0,0,10,NO
17,125,6,89,14.833333,1,41,36,21,20,NO
39,109,4,92,23,1,39,17,11,27,NO
25,25,1,25,25,1,25,0,0,25,NO
65,87,3,77,25.666667,1,65,10,5,29,NO
27,132,5,75,15,1,34,57,37,26,NO
66,117,5,92,18.4,1,66,25,11,23,NO
73,73,1,73,73,1,73,0,0,73,NO
25,485,19,315,16.578947,1,77,170,48,25,NO
100,150,2,125,62.5,1,100,25,25,75,NO
49,3,1,3,3,1,3,0,0,3,NO
73,147,4,114,28.5,1,81,33,22,36,NO
39,58,2,39,19.5,1,39,19,19,29,NO
5,5,1,5,5,1,5,0,0,5,NO
115,310,4,251,62.75,1,115,59,58,77,NO
44,139,8,100,12.5,1,44,39,15,17,NO
46,71,3,62,20.666667,1,46,9,9,23,NO
9,19,3,14,4.666667,1,9,5,4,6,NO
30,82,7,61,8.714286,1,30,21,7,11,NO
65,108,5,88,17.6,1,65,20,8,21,NO
19,41,8,21,2.625,1,8,20,8,5,NO
106,254,9,93,10.333333,1,31,161,60,28,NO
12,6,2,4,2,1,2,2,2,3,NO
25,41,7,21,3,1,8,20,8,5,NO
8,2,1,2,2,1,2,0,0,2,NO
9,4,2,1,0.5,1,1,3,3,2,NO
12,3,2,2,1,1,1,1,1,1,NO
7,16,4,9,2.25,1,3,7,3,4,NO
44,184,7,113,16.142857,1,44,71,41,26,NO
49,141,11,97,8.818182,1,40,44,10,12,NO
55,63,6,47,7.833333,1,22,16,10,10,NO
30,45,4,41,10.25,1,30,4,4,11,NO
21,21,1,21,21,1,21,0,0,21,NO
62,147,8,116,14.5,1,62,31,11,18,NO
18,31,2,31,15.5,1,18,0,0,15,NO
31,31,1,31,31,1,31,0,0,31,NO
56,96,4,86,21.5,1,56,10,10,24,NO
87,182,6,127,21.166667,1,87,55,32,30,NO
62,132,9,103,11.444444,1,62,29,11,14,NO
18,31,2,31,15.5,1,18,0,0,15,NO
31,31,1,31,31,1,31,0,0,31,NO
63,112,6,94,15.666667,1,63,18,10,18,NO
60,192,12,130,10.833333,1,60,62,21,16,NO
62,130,9,102,11.333333,1,62,28,11,14,NO
18,53,5,42,8.4,1,18,11,9,10,NO
31,33,2,32,16,1,31,1,1,16,NO
60,106,6,91,15.166667,1,60,15,10,17,NO
60,214,12,141,11.75,1,60,73,30,17,NO
92,34,3,19,6.333333,1,8,15,10,11,NO
